month_end,ment_health_no_good_18_24,genhlth_no_good_18_24,ment_health_no_good_25on,genhlth_no_good_25on,divorced_widowed_separated,avg_close_apple_stock,avg_close_atandt_stock,avg_close_verizon_stock,x0_24_suicides,x25on_suicides,population_num_million,unemp_per,personal_save_rate,x0_24_suicides_per_thous,x25on_suicides_per_thous
2009-04-30,0.43874891398783666,0.011294526498696786,0.30445798223639264,0.06063539057162377,0.29973467545611204,4.411875,25.74571457142857,29.40985425,360,2661,306.32,0.09,0.068,1175.2415774353617,8686.993993209715
2009-05-31,0.44626743232157506,0.016406890894175553,0.2966719317205642,0.05744610098098986,0.2981878088962109,4.55285725,25.0760001,27.55752375,400,2864,306.54,0.094,0.08199999999999999,1304.886801070007,9342.98949566125
2009-06-30,0.4326996197718631,0.009125475285171103,0.30361315324556903,0.05989798535320434,0.29647885406170854,5.0255716,24.540908863636364,28.1366698,353,2893,306.77,0.095,0.067,1150.6992209146918,9430.51797763797
2009-07-31,0.4316057774001699,0.006796941376380629,0.29919841484283527,0.05968356900537392,0.2961823722187087,5.479018,24.66181822727273,28.55403075,339,2902,307.01,0.095,0.06,1104.198560307482,9452.460831894728
2009-08-31,0.42547169811320756,0.010377358490566037,0.29997119815668205,0.060195852534562215,0.29970079787234044,6.013357,25.789999904761906,29.1026956,388,2907,307.27,0.096,0.049,1262.7331011813717,9460.734858593421
2009-09-30,0.43049792531120334,0.01037344398340249,0.301939803329647,0.06103356547209852,0.2985491392711152,6.46830325,26.458095523809522,28.29611175,389,2867,307.52,0.098,0.059000000000000004,1264.9583766909468,9322.970863683662
2009-10-31,0.45472249269717624,0.011684518013631937,0.2936166739225076,0.059346938775510207,0.3010427884741667,6.88357125,26.0186365,27.31601725,404,2714,307.76,0.1,0.054000000000000006,1312.7112035352222,8818.5599168183
2009-11-30,0.4153386454183267,0.012948207171314742,0.29169308814204187,0.05614965555011097,0.29844314706700026,7.090143,26.2965005,28.9713912,333,2499,307.95,0.099,0.059000000000000004,1081.3443740867024,8114.953726254262
2009-12-31,0.4422680412371134,0.004123711340206186,0.29347578254779977,0.06077977916028794,0.3015391353312895,7.230982,27.76681818181818,31.189498750000002,332,2503,308.17,0.099,0.059000000000000004,1077.3274491352176,8122.140377064607
2010-01-31,0.42371134020618556,0.013402061855670102,0.29074367088607594,0.05957887049659202,0.3023821383574087,7.21178575,26.42631594736842,28.6267165,361,2689,308.38,0.098,0.061,1170.6336338283936,8719.761333419807
2010-02-28,0.4307400379506641,0.011385199240986717,0.30193905817174516,0.06107927541348687,0.3046037143604499,7.161875,25.15473694736842,27.1096815,348,2430,308.57,0.098,0.057999999999999996,1127.782998995366,7875.036458502123
2010-03-31,0.4411764705882353,0.012333965844402278,0.3020863709869834,0.06396967206595795,0.305603106875495,8.1047858,25.740434695652173,28.327999,404,2843,308.76,0.099,0.057,1308.45964503174,9207.79893768623
2010-04-30,0.4272970561998216,0.016057091882247992,0.3035131044371863,0.0646591784168459,0.30279241037180993,9.1170535,26.19333323809524,27.576281,385,2851,308.94,0.099,0.064,1246.1966724930408,9228.329125396516
2010-05-31,0.4524025385312783,0.013599274705349048,0.3030891387504347,0.06468065376144662,0.31018441138782105,8.8917144,25.25049975,26.1464694,379,3034,309.12,0.096,0.07,1226.0610766045547,9814.958592132505
2010-06-30,0.41597796143250687,0.010101010101010102,0.30515926424405565,0.06508344798707902,0.3082689490766005,9.296607250000001,24.995909363636365,26.92338675,343,2942,309.32,0.094,0.069,1108.8840036208458,9511.1858269753
2010-07-31,0.42397914856646396,0.007819287576020852,0.3006243175900781,0.06590330076429911,0.31036244353624437,9.1670535,25.10095257142857,27.605,384,3058,309.54,0.094,0.068,1240.5504942818375,9879.175550817343
2010-08-31,0.43120070113935144,0.007887817703768623,0.3057146849238508,0.061422383680312984,0.306862981736262,8.9944288,26.76,29.7980004,424,3021,309.76,0.095,0.069,1368.801652892562,9752.711776859504
2010-09-30,0.449671772428884,0.010940919037199124,0.30612070682639503,0.0618899923171044,0.30527472527472527,9.94303575,28.122381047619047,32.0074995,427,2725,309.99,0.095,0.067,1377.4637891544887,8790.606148585437
2010-10-31,0.46421052631578946,0.011578947368421053,0.30428360413589367,0.06431884733991552,0.3111395005135142,10.86839275,28.487619095238095,32.4575005,421,2806,310.17,0.094,0.066,1357.3201792565367,9046.651836089886
2010-11-30,0.42705005324813633,0.011714589989350373,0.30094907097981555,0.06395208940459321,0.3152794645856482,11.1737856,28.55238095238095,32.738000400000004,379,2609,310.35,0.098,0.066,1221.2018688577411,8406.637667149993
2010-12-31,0.4370044052863436,0.013215859030837005,0.2998626266815272,0.06189896057440576,0.30931515741642324,11.49401775,28.96454518181818,34.974999499999996,339,2698,310.54,0.09300000000000001,0.071,1091.6468087846974,8688.091711212726
2011-01-31,0.4072494669509595,0.007818052594171997,0.2936023196989327,0.05999753223517799,0.30243473159284245,12.0994284,28.53299995,35.6560004,388,2754,310.69,0.091,0.07400000000000001,1248.833242138466,8864.141105281793
2011-02-28,0.4194865810968495,0.011668611435239206,0.2933765985875167,0.05789000081804052,0.3008906673551052,12.639018,28.14631552631579,36.26500025,386,2382,310.83,0.09,0.076,1241.836373580414,7663.352958208668
2011-03-31,0.4511910322279309,0.012610929472209247,0.30212893415049996,0.058914335744896545,0.29764547155851506,12.310357,28.527826173913045,36.8625,408,2979,311.01,0.09,0.07,1311.854924278962,9578.47014565448
2011-04-30,0.45721518987341775,0.012658227848101266,0.3082759660318577,0.06120295462539571,0.2978173190984579,12.172768,30.6445,37.5649995,431,3007,311.18,0.091,0.069,1385.0504531139534,9663.217430426119
2011-05-31,0.44459898006490495,0.011590171534538712,0.307743807185896,0.06090061495734973,0.29718847460782943,12.1659284,31.338571476190477,36.7979996,444,3015,311.35,0.09,0.069,1426.0478561104865,9683.635779669181
2011-06-30,0.44154488517745305,0.010960334029227558,0.30697627358729196,0.06207315222340264,0.30512079141676024,11.7479465,30.723636272727273,36.124999,373,2974,311.56,0.091,0.07200000000000001,1197.201181152908,9545.512902811657
2011-07-31,0.40358056265984654,0.008695652173913044,0.3020527859237537,0.06120436849024168,0.30532493558545665,13.4679465,30.4899999,36.582500749999994,406,3162,311.76,0.09,0.07200000000000001,1302.2838080574802,10142.417244033872
2011-08-31,0.4348993288590604,0.0071588366890380315,0.3062033738826534,0.06216954924276369,0.3060616308069493,13.3162144,28.80608704347826,35.0759992,385,3108,312,0.09,0.07200000000000001,1233.9743589743591,9961.538461538461
2011-09-30,0.4410377358490566,0.013561320754716982,0.3063573623495038,0.0629187446476248,0.3039691843912242,13.960714249999999,28.27476180952381,36.16000075,436,2885,312.21,0.09,0.068,1396.4959482399668,9240.575253835561
2011-10-31,0.45276381909547736,0.012060301507537688,0.30539339953950273,0.05930646324162151,0.30165298351418574,14.2132858,28.896666380952382,37.1419998,407,2892,312.4,0.08800000000000001,0.068,1302.8169014084508,9257.362355953905
2011-11-30,0.47305389221556887,0.00998003992015968,0.2998404729507812,0.059799183596865764,0.2931065115039531,13.50741075,28.744285904761906,36.794998750000005,378,2754,312.59,0.086,0.069,1209.251735500176,8810.262644358427
2011-12-31,0.460841768779968,0.012253596164091636,0.30441524524606217,0.06077588552151913,0.2962298485275649,14.13366075,29.285714523809524,39.3274995,377,2701,312.79,0.085,0.078,1205.2814987691422,8635.18654688449
2012-01-31,0.44790547798066593,0.009129967776584319,0.30545557602380613,0.06008218789854046,0.2986111111111111,15.496214199999999,30.003,38.254000000000005,447,2855,312.93,0.083,0.08,1428.434474163551,9123.446138113955
