Date,Open,High,Low,Close,Adj Close,Volume
1998-09-28,43.392323,46.933407,42.717831,46.202705,17.230333,21390429
1998-10-05,45.977875,47.664104,44.572685,44.741306,16.685335,21707780
1998-10-12,44.909931,47.158237,42.942661,44.544579,16.735880,15096805
1998-10-19,44.404060,46.933407,43.785778,46.315121,17.401094,9642478
1998-10-26,46.427536,48.113766,45.415798,47.832729,17.971272,10463763
1998-11-02,48.563431,50.530697,47.776520,50.024830,18.794868,12852227
1998-11-09,49.912415,50.755527,47.888939,48.451015,18.203569,9912014
1998-11-16,48.788261,51.373814,48.788261,51.205189,19.238338,8834760
1998-11-23,50.980358,52.947628,50.699322,51.317604,19.280582,6719389
1998-11-30,51.092773,51.373814,49.181713,51.092773,19.196114,11896730
1998-12-07,51.092773,52.891418,48.956882,49.181713,18.478092,10506239
1998-12-14,48.900677,51.205189,46.820992,51.036568,19.174995,12031833
1998-12-21,50.811737,52.947628,50.081036,51.992096,19.533997,7935193
1998-12-28,52.160721,55.027309,47.664104,48.563431,18.245808,10285518
1999-01-04,49.462753,52.048306,46.034084,50.924152,19.132755,32254605
1999-01-11,50.362076,50.418282,45.977875,47.776520,18.076694,20885160
1999-01-18,51.598644,53.003834,50.249660,52.779003,19.969435,23240933
1999-01-25,52.385551,53.959366,48.507221,53.959366,20.416025,22358603
1999-02-01,53.622120,54.352818,52.160721,52.329342,19.799292,19093369
1999-02-08,52.160721,52.891418,51.373814,51.992096,19.671701,12826985
1999-02-15,51.711060,52.947628,51.092773,51.654850,19.544092,9487696
1999-02-22,51.711060,54.127987,50.362076,51.823475,19.607901,18092503
1999-03-01,51.261398,51.542435,48.844467,49.743790,18.821030,13539856
1999-03-08,49.181713,50.249660,48.113766,49.631374,18.778494,13438000
1999-03-15,48.844467,49.912415,47.720314,47.720314,18.055429,13361944
1999-03-22,47.720314,48.900677,45.528214,46.258915,17.502493,14004871
1999-03-29,46.315121,47.832729,45.809254,46.539951,17.608826,11327969
1999-04-05,46.539951,50.305866,45.865459,50.249660,19.012424,15951893
1999-04-12,49.799999,52.610382,49.237923,52.273136,19.923792,13191816
1999-04-19,52.385551,53.734535,50.305866,53.397289,20.352255,16206640
1999-04-26,53.172459,53.790741,50.643112,51.823475,19.752407,16962319
1999-05-03,51.935890,54.071781,50.081036,52.329342,19.945211,15724500
1999-05-10,51.486229,52.722797,49.125507,50.362076,19.195391,26593567
1999-05-17,50.474491,52.610382,49.462753,49.912415,19.024012,27055470
1999-05-24,50.249660,51.036568,48.619637,49.237923,18.766924,12818200
1999-05-31,49.237923,50.137245,48.338596,49.575169,18.895468,8006136
1999-06-07,49.968620,52.048306,49.631374,51.542435,19.645283,12327276
1999-06-14,52.160721,55.083519,52.048306,54.802479,20.887840,17124554
1999-06-21,54.858688,55.476974,52.441757,53.846951,20.523647,10832374
1999-06-28,53.959366,58.793224,52.666588,56.207672,21.423433,18982952
1999-07-05,56.320087,57.500450,55.364555,56.263882,21.444851,10072580
1999-07-12,56.320087,60.198418,55.533180,59.636341,22.871513,13383181
1999-07-19,59.242886,59.917377,57.556656,58.849434,22.569725,12331057
1999-07-26,58.343563,59.242886,57.219410,57.556656,22.073915,12193287
1999-08-02,57.781487,58.905640,55.926636,57.500450,22.052366,14330339
1999-08-09,57.219410,58.118732,55.364555,57.725281,22.138584,16047409
1999-08-16,57.893902,58.849434,54.521442,54.914894,21.060764,13408757
1999-08-23,55.139729,58.793224,54.971104,57.219410,21.944576,17795168
1999-08-30,56.657333,57.556656,54.184196,57.331825,21.987694,13115647
1999-09-06,57.388035,57.893902,55.870426,56.207672,21.556566,9505263
1999-09-13,56.095257,58.680809,56.095257,58.006317,22.246372,13083512
1999-09-20,57.669071,60.648079,56.825958,57.893902,22.203249,20630525
1999-09-27,58.118732,61.322571,57.950111,59.692547,22.893063,16619061
1999-10-04,60.367039,62.502934,58.455978,60.198418,23.087070,16871807
1999-10-11,59.692547,60.142208,55.645596,57.444241,22.160940,18026676
1999-10-18,57.219410,59.186680,56.207672,56.657333,21.857372,13909800
1999-10-25,56.601128,58.905640,55.645596,58.399773,22.529562,19176763
1999-11-01,58.624603,58.737019,56.039047,56.039047,21.618841,16274691
1999-11-08,56.095257,58.006317,56.095257,56.544918,21.813993,14069809
1999-11-15,56.882164,58.849434,56.488712,58.287357,22.486195,10694382
1999-11-22,57.669071,57.781487,55.364555,56.544918,21.813993,8257325
1999-11-29,57.219410,59.636341,55.870426,59.355301,22.898199,20550687
1999-12-06,58.455978,59.299095,56.769749,56.882164,21.944105,13474584
1999-12-13,56.713539,58.961849,56.432503,58.399773,22.529562,20409914
1999-12-20,58.399773,60.479454,57.275620,57.500450,22.182621,16550010
1999-12-27,56.320087,56.432503,53.228664,55.364555,21.358635,17387194
2000-01-03,54.521442,55.420765,51.486229,52.891418,20.404543,25788072
2000-01-10,52.891418,53.341080,49.968620,50.643112,19.663498,19435292
2000-01-17,51.261398,55.139729,51.092773,54.015572,20.972935,16242334
2000-01-24,54.240402,54.690063,51.317604,51.823475,20.121796,18865752
2000-01-31,51.767265,56.657333,51.317604,52.666588,20.449167,18987843
2000-02-07,52.666588,54.409027,48.956882,50.362076,19.554380,15896740
2000-02-14,50.362076,50.643112,46.371330,46.652367,18.113979,18298658
2000-02-21,47.214443,47.495483,42.605415,42.774040,16.608122,19139736
2000-02-28,42.998871,50.474491,42.886456,49.743790,19.314310,26622589
2000-03-06,50.530697,52.722797,49.181713,51.542435,20.012676,19817579
2000-03-13,50.924152,53.790741,49.462753,53.228664,20.667400,21933839
